train label,class id,species
58,103217,Vernonia arkansana DC.
59,10323,Allium macropetalum Rydb.
60,103367,Vernonia fasciculata Michx.
61,103369,Vernonia faustiana B.L.Turner
62,103389,Vernonia galpinii Klatt
63,103462,Vernonia karongensis Baker
64,103550,Vernonia missurica Raf.
65,103569,Vernonia noveboracensis (L.) Michx.
66,103658,Vernonia rhodanthoidea Muschl.
67,10372,Allium monticola Davidson
68,10383,Allium neapolitanum Cirillo
69,103914,Viguiera dentata (Cav.) Spreng.
70,10399,Allium obtusum Lemmon
71,1040,Crossandra mucronata Lindau
72,10402,Allium oleraceum L.
73,104060,Vittadinia gracilis (Hook.f.) N.T.Burb.
74,1042,Crossandra nilotica Oliv.
75,104287,Wyethia angustifolia (DC.) Nutt.
76,104292,Wyethia helianthoides Nutt.
77,104308,Xanthisma texanum DC.
78,10431,Allium paniculatum L.
79,104318,Xanthium pungens Wallr.
80,104354,Xeranthemum annuum L.
81,104363,Xerochrysum bracteatum (Vent.) Tzvelev
82,104406,Yermo xanthocephalus Dorn
83,10441,Allium parvum Kellogg
84,104421,Youngia japonica (L.) DC.
85,10443,Allium pendulinum Ten.
86,10444,Allium peninsulare Lemmon ex Greene
87,104478,Zexmenia virgulta Klatt
88,104495,Zinnia peruviana (L.) L.
89,104500,Zinnia violacea Cav.
90,104535,Agelaea pentagyna (Lam.) Baill.
91,104729,Rourea glabra Kunth
92,10473,Allium praecox Brandegee
93,104836,Argyreia nervosa (Burm. f.) Bojer
94,104881,Bonamia mossambicensis (Klotzsch) Hallier f.
95,104927,Calystegia atriplicifolia Hallier f.
96,104929,Calystegia collina (Greene) Brummitt
97,104933,Calystegia longipes (S. Watson) Brummitt
98,104936,Calystegia malacophylla (Greene) Munz
99,104942,Calystegia purpurata (Greene) Brummitt
100,104945,Calystegia silvatica (Kit.) Griseb.
101,104946,Calystegia soldanella (L.) R. Br.
102,104960,Convolvulus althaeoides L.
103,104999,Convolvulus nodiflorus Desr.
104,1050,Crossandra puberula Klotzsch
105,105029,Convolvulus tricolor L.
106,105036,Cressa truxillensis Kunth
107,105043,Cuscuta americana L.
108,105057,Cuscuta brachycalyx (Yunck.) Yunck.
109,105061,Cuscuta campestris Yunck.
110,105065,Cuscuta ceanothi Behr
111,105070,Cuscuta chinensis Lam.
112,105090,Cuscuta epilinum Weihe
113,105093,Cuscuta europaea L.
114,105094,Cuscuta exaltata Engelm.
115,105121,Cuscuta japonica Choisy
116,105147,Cuscuta occidentalis Millsp.
117,105153,Cuscuta palaestina Boiss.
118,105160,Cuscuta pentagona Engelm.
119,105182,Cuscuta salina Engelm.
120,105183,Cuscuta sandwichiana Choisy
121,105194,Cuscuta suksdorfii Yunck.
122,105201,Cuscuta umbellata Kunth
123,105212,Dichondra carolinensis Michx.
124,105219,Dichondra occidentalis House
125,10526,Allium roseum L.
126,105269,Evolvulus arizonicus A. Gray
127,105330,Evolvulus nummularius (L.) L.
128,105391,Hewittia malabarica (L.) Suresh
129,105410,Ipomoea alba L.
130,105411,Ipomoea albivenia Sweet
131,105418,Ipomoea ancisa House
132,105423,Ipomoea aquatica Forssk.
133,105424,Ipomoea arachnosperma Welw.
134,105442,Ipomoea batatoides Choisy
135,105450,Ipomoea blepharophylla Hallier f.
136,105461,Ipomoea capillacea (Kunth) G. Don
137,105465,Ipomoea carnea Jacq.
138,105474,Ipomoea chilopsidis Standl.
139,105488,Ipomoea conzattii Greenm.
140,105493,Ipomoea costellata Torr.
141,105498,Ipomoea cristulata Hallier f.
142,10550,Allium sannineum Gomb.
143,105524,Ipomoea eggersii (House) D.F. Austin
144,105531,Ipomoea eriocarpa R. Br.
145,105572,Ipomoea horsfalliae Hook.
146,105595,Ipomoea lacunosa L.
147,105603,Ipomoea leptophylla Torr.
148,105609,Ipomoea lindheimeri A. Gray
149,105614,Ipomoea lobata (Cerv.) Thell.
150,105616,Ipomoea longifolia Benth.
151,105626,Ipomoea madrensis S. Watson
152,105639,Ipomoea mauritiana Jacq.
153,10565,Allium schoenoprasum L.
154,105661,Ipomoea nil (L.) Roth
155,105665,Ipomoea obscura (L.) Ker Gawl.
156,105667,Ipomoea ochracea (Lindl.) G. Don
157,10567,Allium schubertii Zucc.
158,105679,Ipomoea pandurata (L.) G. Mey.
159,105687,Ipomoea pedicellaris Benth.
160,105695,Ipomoea pes-caprae (L.) R. Br.
161,105696,Ipomoea pes-tigridis L.
162,10570,Allium scorodoprasum L.
163,105700,Ipomoea pileata Roxb.
164,105708,Ipomoea plummerae A. Gray
165,105721,Ipomoea pubescens Lam.
166,105732,Ipomoea repanda Jacq.
167,105748,Ipomoea sagittata Poir.
168,10575,Allium senescens L.
169,105765,Ipomoea sescossiana Baill.
170,105767,Ipomoea shirambensis Baker
171,105783,Ipomoea stans Cav.
172,105807,Ipomoea tenuiloba Torr.
173,105815,Ipomoea tiliacea (Willd.) Choisy
174,105818,Ipomoea tricolor Cav.
175,105820,Ipomoea triloba L.
176,105829,Ipomoea vagans Baker
177,105838,Ipomoea verbascoidea Choisy
178,10584,Allium shevockii McNeal
179,105841,Ipomoea violacea L.
180,105847,Ipomoea wightii (Wall.) Choisy
181,10586,Allium siculum Ucria
182,105927,Jacquemontia tamnifolia (L.) Griseb.
183,105955,Maripa nicaraguensis Hemsl.
184,10596,Allium siskiyouense Ownbey ex Traub
185,105992,Merremia hederacea (Burm. f.) Hallier f.
186,106,Anisacanthus insignis A. Gray
187,106004,Merremia palmata Hallier f.
188,106006,Merremia peltata (L.) Merr.
189,106012,Merremia quinquefolia (L.) Hallier f.
190,106021,Merremia tridentata (L.) Hallier f.
191,106022,Merremia tuberosa (L.) Rendle
192,106023,Merremia umbellata (L.) Hallier f.
193,10605,Allium sphaerocephalon L.
194,106120,Stictocardia beraviensis (Vatke) Hallier f.
195,106127,Stictocardia tiliifolia (Desr.) Hallier f.
196,106158,Turbina corymbosa (L.) Raf.
197,10616,Allium stellatum Nutt. ex Ker Gawl.
198,106177,Coriaria arborea Linds.
199,106184,Coriaria nepalensis Wall.
200,106188,Coriaria ruscifolia L.
201,106189,Coriaria terminalis Hemsl.
202,106222,Chamaepericlymenum unalaschkense (Ledeb.) Rydb.
203,106232,Cornus amomum Mill.
204,106237,Cornus capitata Wall.
205,106239,Cornus controversa Hemsl.
206,106245,Cornus florida L.
207,106246,Cornus foemina Mill.
208,106247,Cornus glabrata Benth.
209,106252,Cornus kousa F.Buerger ex Hance
210,106254,Cornus mas L.
211,106265,Cornus racemosa Lam.
212,106266,Cornus rugosa Lam.
213,106267,Cornus sanguinea L.
214,106271,Cornus suecica L.
215,106276,Davidia involucrata Baill.
216,10630,Allium subhirsutum L.
217,106312,Nyssa aquatica L.
218,106379,Cheilocostus speciosus (J.Koenig) C.D.Specht
219,106384,Costus afer Ker Gawl.
220,106396,Costus chartaceus Maas
221,106400,Costus comosus (Jacq.) Roscoe
222,106426,Costus lateriflorus Baker
223,106455,Costus productus Gleason ex Maas
224,106465,Costus spicatus (Jacq.) Sw.
225,106466,Costus spiralis (Jacq.) Roscoe
226,106473,Costus tonkinensis Gagnep.
227,106489,Dimerocostus strobilaceus Kuntze
228,106490,Monocostus uniflorus (Poepp. ex Petersen) Maas
229,10655,Allium tel-avivense Eig
230,10659,Allium tenuiflorum Ten.
231,106618,Aeonium lancerottense (Praeger) Praeger
232,106625,Aeonium simsii (Sweet) Stearn
233,106690,Bryophyllum pinnatum (Lam.) Oken
234,106715,Cotyledon orbiculata L.
235,106725,Crassula alata (Viv.) A.Berger
236,10676,Allium tribracteatum Torr.
237,106775,Crassula decumbens Thunb.
238,10678,Allium tricoccum Aiton
239,10679,Allium trifoliatum Cirillo
240,106808,Crassula helmsii (Kirk) Cockayne
241,10683,Allium triquetrum L.
242,106837,Crassula moschata G.Forst.
243,106839,Crassula multicava Lem.
244,106862,Crassula peduncularis (Sm.) F.Meigen
245,10688,Allium tuberosum Rottler ex Spreng.
246,106894,Crassula setulosa Harv.
247,106914,Crassula tetragona L.
248,106916,Crassula tillaea Lest.-Garl.
249,106938,Dudleya abramsii Rose
250,106950,Dudleya candelabrum Rose
251,106955,Dudleya densiflora (Rose) Moran
252,106956,Dudleya edulis (Nutt.) Moran
253,106961,Dudleya greenei Rose
254,106967,Dudleya nesiotica (Moran) Moran
255,106987,Echeveria agavoides Lem.
256,107027,Echeveria elegans Rose
257,10704,Allium unifolium Kellogg
258,10717,Allium victorialis L.
259,107211,Kalanchoe beharensis Drake
260,107216,Kalanchoe blossfeldiana Poelln.
261,107232,Kalanchoe crenata (Andrews) Haw.
262,107261,Kalanchoe lanceolata (Forssk.) Pers.
263,107262,Kalanchoe lateritia Engl.
264,10727,Allium wallichii Kunth
265,107272,Kalanchoe marmorata Baker
266,107283,Kalanchoe orgyalis Baker
267,107321,Kalanchoe tetraphylla H. Perrier
268,107322,Kalanchoe tomentosa Baker
269,107371,Orostachys spinosa (L.) Sweet
270,10743,Allium yosemitense Eastw.
271,10752,Amaryllis belladonna L.
272,107526,Sedum alamosanum S. Watson
273,107527,Sedum albomarginatum R.T. Clausen
274,107528,Sedum album L.
275,107531,Sedum alpestre Vill.
276,107536,Sedum anglicum Huds.
277,107537,Sedum annuum L.
278,107563,Sedum caeruleum L.
279,107574,Sedum chihuahuense S. Watson
280,10758,Ammocharis coranica (Ker Gawl.) Herb.
281,107606,Sedum dasyphyllum L.
282,107617,Sedum divergens S. Watson
283,107641,Sedum forsterianum Sm.
284,107653,Sedum glaucophyllum R.T. Clausen
285,107678,Sedum hispanicum L.
286,107682,Sedum hybridum L.
287,107695,Sedum lanceolatum Torr.
288,107713,Sedum lucidum R.T. Clausen
289,107744,Sedum mucizonia (Ortega) Raym.-Hamet
290,107761,Sedum nussbaumerianum Bitter
291,107776,Sedum oreganum Nutt.
292,107777,Sedum oregonense (S. Watson) M. Peck
293,107785,Sedum palmeri S. Watson
294,107814,Sedum pulchellum Michx.
295,107833,Sedum roseum (L.) Scop.
296,107837,Sedum rupestre L.
297,107842,Sedum sarmentosum Bunge
298,107844,Sedum sediforme (Jacq.) Pau
299,107848,Sedum sexangulare L.
300,107854,Sedum spathulifolium Hook.
301,107856,Sedum spectabile Boreau
302,107862,Sedum stelliforme S. Watson
303,107863,Sedum stenopetalum Pursh
304,107873,Sedum telephium L.
305,107875,Sedum ternatum Michx.
306,10788,Brunsvigia orientalis (L.) Aiton ex Eckl.
307,107900,Sedum villosum L.
308,107901,Sedum vinicolor S. Watson
309,107911,Sedum wrightii A. Gray
310,107916,Sempervivum arachnoideum L.
311,107936,Sempervivum montanum L.
312,107993,Umbilicus horizontalis (Guss.) DC.
313,108041,Villadia squamulosa (S. Watson) Rose
314,108148,Bryonia alba L.
315,108266,Citrullus colocynthis (L.) Schrad.
316,108293,Coccinia rehmannii Cogn.
317,108341,Cucumis anguria L.
318,108349,Cucumis dipsaceus Ehrenb. ex Spach
319,108356,Cucumis hirsutus Sond.
320,108368,Cucumis melo L.
321,108385,Cucumis sativus L.
322,108404,Cucurbita moschata Duchesne
323,108408,Cucurbita pepo L.
324,108512,Fevillea cordifolia L.
325,10852,Crinum americanum L.
326,10856,Crinum asiaticum L.
327,108566,Gurania makoyana (Lem.) Cogn.
328,10868,Crinum buphanoides Welw. ex Baker
329,108684,Ibervillea tenuisecta (A. Gray) Small
330,108711,Lagenaria siceraria (Molina) Standl.
331,108712,Lagenaria sphaerica (Sond.) Naudin
332,10872,Crinum crassicaule Baker
333,108723,Marah fabacea (Naudin) Greene
334,108725,Marah gilensis (Greene) Greene
335,108746,Melothria scabra Naudin
336,108748,Melothria trilobata Cogn.
337,10876,Crinum erubescens L.f. ex Aiton
338,108761,Momordica anigosantha Hook. f.
339,108762,Momordica balsamina L.
340,108763,Momordica boivinii Baill.
341,108774,Momordica foetida Schumach.
342,108910,Sechium edule (Jacq.) Sw.
343,108953,Sicyos angulatus L.
344,108970,Sicyos glaber Wooton
345,108974,Sicyos hispidus Hillebr.
346,108985,Sicyos macrophyllus A. Gray
347,108990,Sicyos microphyllus Kunth
348,10903,Crinum macowanii Baker
349,10912,Crinum nubicum Hannibal
350,10914,Crinum ornatum (Aiton) Herb.
351,109212,Ceratopetalum gummiferum Sm.
352,109460,Calocedrus decurrens (Torr.) Florin
353,109465,Chamaecyparis formosensis Matsum.
354,109467,Chamaecyparis lawsoniana (A.Murray bis) Parl.
355,109475,Cunninghamia lanceolata (Lamb.) Hook.
356,109478,Cupressus bakeri Jeps.
357,109485,Cupressus goveniana Gordon
358,109487,Cupressus lusitanica Mill.
359,109491,Cupressus sargentii Jeps.
360,109515,Juniperus bermudiana L.
361,109517,Juniperus brevifolia (Seub.) Antoine
362,109520,Juniperus chinensis L.
363,109527,Juniperus deltoides R.P.Adams
364,109528,Juniperus deppeana Steud.
365,109533,Juniperus flaccida Schltdl.
366,109535,Juniperus formosana Hayata
367,109538,Juniperus horizontalis Moench
368,109544,Juniperus maritima R.P.Adams
369,109547,Juniperus monosperma (Engelm.) Sarg.
370,109549,Juniperus morrisonicola Hayata
371,109552,Juniperus occidentalis Hook.
372,109553,Juniperus osteosperma (Torr.) Little
373,109556,Juniperus pinchotii Sudw.
374,109560,Juniperus procera Hochst. ex Endl.
375,109566,Juniperus sabina L.
376,109570,Juniperus scopulorum Sarg.
377,109575,Juniperus thurifera L.
378,109578,Juniperus virginiana L.
379,109584,Libocedrus plumosa (D.Don) Druce
380,10959,Cryptostephanus vansonii Verd.
381,109601,Platycladus orientalis (L.) Franco
382,109610,Taiwania cryptomerioides Hayata
383,109612,Taxodium distichum (L.) Rich.
384,109617,Thuja koraiensis Nakai
385,109699,Alsophila thomsonii (Baker) R.M. Tryon
386,109812,Cyathea colensoi (Hook. f.) Domin
387,10982,Cyrtanthus galpinii Baker
388,109843,Cyathea dregei Kunze
389,11002,Cyrtanthus rhodesianus Rendle
390,110122,Sphaeropteris cooperi (F. Muell.) R.M. Tryon
391,110186,Cycas circinalis L.
392,110230,Cycas revoluta Thunb.
393,110363,Carludovica sulcata Hammel
394,110574,Becquerelia cymosa Brongn.
395,110600,Bolboschoenus maritimus (L.) Palla
396,11062,Galanthus elwesii Hook.f.
397,11072,Galanthus plicatus M.Bieb.
398,110829,Calyptrocarya glomerulata (Brongn.) Urb.
399,111071,Carex acutiformis Ehrh.
400,111095,Carex alligata Boott
401,111106,Carex amphibola Steud.
402,111134,Carex appressa R.Br.
403,111135,Carex appropinquata Schumach.
404,111136,Carex aquatilis Wahlenb.
405,111141,Carex arcta Boott
406,111142,Carex arctata Boott
407,111144,Carex arenaria L.
408,111164,Carex atherodes Spreng.
409,111168,Carex atrata L.
410,111171,Carex atrofusca Schkuhr
411,111179,Carex aurea Nutt.
412,111200,Carex baldensis L.
413,111219,Carex berggrenii Petrie
414,111223,Carex bicknellii Britton & A.Br.
415,111226,Carex bigelowii Torr. ex Schwein.
416,111230,Carex binervis Sm.
417,111233,Carex blanda Dewey
418,111263,Carex brevior (Dewey) Mack. ex Lunell
419,111265,Carex breweri Boott
420,111266,Carex brizoides L.
421,111267,Carex bromoides Willd.
422,111271,Carex brunnescens (Pers.) Poir.
423,111282,Carex buxbaumii Wahlenb.
424,111297,Carex canescens L.
425,111303,Carex capitata Sol.
426,111307,Carex careyana Torr. ex Dewey
427,111324,Carex cephalophora Muhl. ex Willd.
428,111327,Carex cespitosa L.
429,111336,Carex cherokeensis Schwein.
430,111352,Carex chordorrhiza L.f.
431,111375,Carex comans Berggr.
432,111378,Carex comosa Boott
433,111391,Carex conjuncta Boott
434,111414,Carex crawei Dewey ex Torr.
435,111421,Carex crinita Lam.
436,111422,Carex cristatella Britton & A.Br.
437,111425,Carex crus-corvi Shuttlew. ex Kunze
438,111426,Carex cryptolepis Mack.
439,111452,Carex davalliana Sm.
440,111481,Carex deweyana Schwein.
441,111483,Carex diandra Schrank
442,111489,Carex digitata L.
443,111493,Carex dioica L.
444,111498,Carex dissita Sol. ex Boott
445,111502,Carex distans L.
446,111504,Carex disticha Huds.
447,111528,Carex eburnea Boott
448,111529,Carex echinata Murray
449,111542,Carex elata All.
450,111548,Carex elongata L.
451,111552,Carex emoryi Dewey
452,111577,Carex extensa Gooden.
453,111587,Carex ferruginea Scop.
454,111605,Carex flacca Schreb.
455,111607,Carex flagellifera Colenso
456,111608,Carex flava L.
457,111619,Carex folliculata L.
458,111629,Carex frankii Kunth
459,111650,Carex geminata Schkuhr
460,111670,Carex globosa Boott
461,111686,Carex gracillima Schwein.
462,111699,Carex grisea Wahlenb.
463,111723,Carex harfordii Mack.
464,111726,Carex hartmanii Cajander
465,111762,Carex hirsutella Mack.
466,111763,Carex hirta L.
467,111766,Carex hirtifolia Mack.
468,111771,Carex hitchcockiana Dewey
469,111788,Carex hostiana DC.
470,111801,Carex humilis Leyss.
471,111807,Carex hyalinolepis Steud.
472,111818,Carex hystericina Muhl. ex Willd.
473,111848,Carex intumescens Rudge
474,111861,Carex jamesii Schwein.
475,111920,Carex lachenalii Schkuhr
476,111922,Carex lacustris Willd.
477,111926,Carex laevigata Sm.
478,111946,Carex lasiocarpa Ehrh.
479,111956,Carex laxiflora Lam.
480,111966,Carex lenticularis Michx.
481,111972,Carex leptopoda Mack.
482,111979,Carex limosa L.
483,111988,Carex litorosa L.H.Bailey
484,111991,Carex livida (Wahlenb.) Willd.
485,112018,Carex lupuliformis Sartwell ex Dewey
486,112019,Carex lupulina Muhl. ex Willd.
487,112020,Carex lurida Wahlenb.
488,112025,Carex luzulina Olney
489,112028,Carex lyngbyei Hornem.
490,112032,Carex macloviana d'Urv.
491,112048,Carex magellanica Lam.
492,112063,Carex maorica Hamlin
493,112070,Carex maritima Gunnerus
494,112080,Carex meadii Dewey
495,112102,Carex meyenii Nees
496,112111,Carex microglochin Wahlenb.
497,112113,Carex microptera Mack.
498,112131,Carex molesta Mack.
499,112139,Carex montana L.
500,112154,Carex muehlenbergii Willd.
501,112162,Carex muricata L.
502,112164,Carex muskingumensis Schwein.
503,112173,Carex nardina (Hornem.) Fr.
504,112198,Carex nigra (L.) Reichard
505,112208,Carex normalis Mack.
506,112209,Carex norvegica Retz.
507,112225,Carex obtusata Lilj.
508,112235,Carex oligocarpa Willd.
509,112237,Carex oligosperma Michx.
510,11224,Haemanthus albiflos Jacq.
511,112276,Carex paleacea Schreb. ex Wahlenb.
512,112277,Carex pallescens L.
513,112281,Carex panicea L.
514,112282,Carex paniculata L.
515,112294,Carex pauciflora Lightf.
516,112299,Carex paysonis Clokey
517,112302,Carex pedunculata Muhl. ex Willd.
518,112307,Carex pendula Huds.
519,112309,Carex pensylvanica Lam.
520,112342,Carex picta Steud.
521,112344,Carex pilosa Scop.
522,112345,Carex pilulifera L.
523,112354,Carex planostachys Kunze
524,112355,Carex plantaginea Lam.
525,112374,Carex polystachya Sw. ex Wahlenb.
526,112386,Carex prairea Dewey ex Alph.Wood
527,112405,Carex pseudocyperus L.
528,112428,Carex pulicaris L.
529,112429,Carex pumila Thunb.
530,112453,Carex radiata (Wahlenb.) Small
531,112475,Carex remota L.
532,112499,Carex riparia Curtis
533,112504,Carex rosea Willd.
534,112516,Carex rupestris All.
535,112539,Carex sartwellii Dewey
536,112543,Carex saxatilis L.
537,112546,Carex scabrata Schwein.
538,112568,Carex scoparia Willd.
539,112571,Carex secta Boott
540,112576,Carex sempervirens Vill.
541,112599,Carex shortiana Dewey & Torr.
542,112621,Carex solandri Boott
543,112628,Carex sparganioides Muhl. ex Willd.
544,112631,Carex spectabilis Dewey
545,112634,Carex spicata Huds.
546,112635,Carex spicatopaniculata Boeckeler ex C.B.Clarke
547,112641,Carex sprengelii Dewey ex Spreng.
548,112642,Carex squarrosa L.
549,112649,Carex sterilis Willd.
550,112653,Carex stipata Muhl. ex Willd.
551,112666,Carex stricta Lam.
552,112667,Carex strigosa Huds.
553,112700,Carex swanii (Fernald) Mack.
554,112702,Carex sylvatica Huds.
555,112727,Carex tenera Dewey
556,112777,Carex tribuloides Wahlenb.
557,112779,Carex trichocarpa Muhl. ex Willd.
558,112784,Carex trifida Cav.
559,112786,Carex trinervis Degl.
560,112801,Carex tuckermanii Boott
561,112817,Carex umbellata Willd.
562,112828,Carex utriculata Boott
563,112830,Carex vaginata Tausch
564,112849,Carex virescens Muhl. ex Willd.
565,112852,Carex viridula Michx.
566,112856,Carex vulpina L.
567,112858,Carex vulpinoidea Michx.
568,112870,Carex willdenowii Willd.
569,112873,Carex woodii Dewey
570,113,Anisacanthus quadrifidus (Vahl) Nees
571,113026,Cyperus alternifolius L.
572,113048,Cyperus articulatus L.
573,113094,Cyperus capitatus Vand.
574,113155,Cyperus cyperoides (L.) Kuntze
575,113157,Cyperus dactyliformis Boeckeler
576,113177,Cyperus digitatus Roxb.
577,113190,Cyperus dubius Rottb.
578,113242,Cyperus fuscus L.
579,113278,Cyperus hemisphaericus Boeckeler
580,113286,Cyperus hillebrandii Boeckeler
581,113294,Cyperus hypochlorus Hillebr.
582,113315,Cyperus javanicus Houtt.
583,113341,Cyperus lancastriensis Porter
584,113353,Cyperus ligularis L.
585,113362,Cyperus longus L.
586,113368,Cyperus luzulae (L.) Retz.
587,113441,Cyperus niveus Retz.
588,113489,Cyperus phleoides (Nees ex Kunth) H.Mann
589,113558,Cyperus rotundus L.
590,11357,Hippeastrum puniceum (Lam.) Voss
591,113622,Cyperus strigosus L.
592,11365,Hippeastrum stylosum Herb.
593,113718,Dulichium arundinaceum (L.) Britton
594,113766,Eleocharis caduca (Delile) Schult.
595,113779,Eleocharis compressa Sull.
596,113863,Eleocharis macrostachya Britton
597,113866,Eleocharis mamillata (H.Lindb.) H.Lindb.
598,113889,Eleocharis multicaulis (Sm.) Desv.
599,113903,Eleocharis obtusa (Willd.) Schult.
600,113990,Eleocharis uniglumis (Link) Schult.
601,114033,Eriophorum gracile Koch
602,114035,Eriophorum latifolium Hoppe
603,114039,Eriophorum scheuchzeri Hoppe
604,114043,Eriophorum vaginatum L.
605,114044,Eriophorum virginicum L.
606,11413,Hymenocallis liriosme (Raf.) Shinners
607,11414,Hymenocallis littoralis (Jacq.) Salisb.
608,114209,Fimbristylis dichotoma (L.) Vahl
609,11436,Hymenocallis speciosa (L.f. ex Salisb.) Salisb.
610,114435,Fimbristylis vahlii (Lam.) Link
611,114503,Fuirena umbellata Rottb.
612,114526,Gahnia lacera (R.Lesson ex A.Rich.) Steud.
613,114534,Gahnia pauciflora Kirk
614,114540,Gahnia setifolia Hook.f.
615,114546,Gahnia vitiensis Rendle
616,114734,Kobresia myosuroides (Vill.) Fiori
617,114747,Kobresia simpliciuscula (Wahlenb.) Mack.
618,114770,Kyllinga brevifolia Rottb.
619,114874,Lepidosperma australe (A.Rich.) Hook.f.
620,115005,Machaerina juncea (R.Br.) T.Koyama
621,11510,Leucojum aestivum L.
622,11512,Leucojum vernum L.
623,115131,Morelotia gahniiformis Gaudich.
624,115159,Oreobolus impar Edgar
625,115267,Pycreus fibrillosus (Kük.) Cherm.
626,115362,Rhynchospora alba (L.) Vahl
627,115412,Rhynchospora capitellata (Michx.) Vahl
628,115439,Rhynchospora corymbosa (L.) Britton
629,115576,Rhynchospora nervosa (Vahl) Boeckeler
630,115605,Rhynchospora polyphylla (Vahl) Vahl
631,115642,Rhynchospora schiedeana (Schltdl.) Kunth
632,115706,Rhynchospora watsonii (Britton) Davidse
633,115771,Schoenoplectus lacustris (L.) Palla
634,115784,Schoenoplectus pungens (Vahl) Palla
635,115856,Schoenus ferrugineus L.
636,115884,Schoenus nigricans L.
637,115942,Scirpus atrovirens Willd.
638,115946,Scirpus cyperinus (L.) Kunth
639,115951,Scirpus expansus Fernald
640,115979,Scirpus pendulus Muhl.
641,115990,Scirpus sylvaticus L.
642,116072,Scleria gaertneri Raddi
643,116101,Scleria latifolia Sw.
644,116107,Scleria lithosperma (L.) Sw.
645,116174,Scleria racemosa Poir.
646,11618,Narcissus bulbocodium L.
647,11625,Narcissus cyclamineus DC.
648,116316,Trichophorum alpinum (L.) Pers.
649,116318,Trichophorum cespitosum (L.) Hartm.
650,11638,Narcissus jeanmonodii Fern.Casas
651,11639,Narcissus jonquilla L.
652,116429,Cyrilla racemiflora L.
653,116442,Cystopteris bulbifera (L.) Bernh.
654,116444,Cystopteris fragilis (L.) Bernh.
655,116453,Cystopteris montana (Lam.) Bernh. ex Desv.
656,116456,Cystopteris protrusa (Weath.) Blasdell
657,116460,Cystopteris tennesseensis Shaver
658,11647,Narcissus obesus Salisb.
659,116474,Gymnocarpium robertianum (Hoffm.) Newman
660,116484,Cytinus hypocistis (L.) L.
661,11650,Narcissus papyraceus Ker Gawl.
662,11652,Narcissus poeticus L.
663,11654,Narcissus pseudonarcissus L.
664,11658,Narcissus serotinus L.
665,11660,Narcissus tazetta L.
666,11664,Narcissus viridiflorus Schousb.
667,116671,Dennstaedtia punctilobula (Michx.) T. Moore
668,116689,Histiopteris incisa (Thunb.) J. Sm.
669,116732,Hypolepis sparsisora (Schrad.) Kuhn
670,116744,Leptolepia novae-zelandiae (Colenso) Mett. ex Diels
671,116844,Paesia rugulosa (Labill.) Kuhn
672,116854,Pteridium caudatum (L.) Maxon
673,116856,Pteridium esculentum (G. Forst.) Cockayne
674,116868,Diapensia lapponica L.
675,116871,Galax urceolata (Poir.) Brummitt
676,116873,Pyxidanthera barbulata Michx.
